TransformerID,InstallationDate,MaintenanceSchedule,ReplacementHistory,MaintenanceID,MaintenanceType,MaintenanceDate,TransformerLoad,Temperature,Humidity,Precipitation,Alerts,IncidentType,IncidentDetails,OperationID,OperatingTime,LoadCondition,PerformanceMetrics
TxID_1872,2014-12-15,2022-09-26,Replaced major components,MNT-67527,Emergency Maintenance,2023-08-31,327.90248545686734,83.59766981598536,42.083959808848675,15.846908583350622,None,None,No incidents,OP-3509,39.4166608289528,Normal Load,Performance with a load of 327.90248545686734 KW and temperature 83.59766981598536°C. Stable operating conditions without any Incidents
TxID_4800,2010-10-11,2020-12-01,Replaced major components,MNT-19926,Emergency Maintenance,2022-11-14,1037.2728204812988,58.271030209817035,94.20341713286172,39.93667411948022,None,None,No incidents,OP-1616,38.32009383043642,Normal Load,Performance with a load of 1037.2728204812988 KW and temperature 58.271030209817035°C. Stable operating conditions without any Incidents
TxID_9915,2014-05-17,2021-05-16,No major replacements,MNT-92372,Preventive Maintenance,2023-08-19,1579.9344904102502,58.89225130028251,50.80974479126489,20.301953355140963,None,None,No incidents,OP-4139,38.29619667283355,High Load,Performance with a load of 1579.9344904102502 KW and temperature 58.89225130028251°C. Stable operating conditions without any Incidents
TxID_3641,2011-01-06,2023-06-21,No major replacements,MNT-62720,Preventive Maintenance,2023-07-21,814.9848496434428,28.849592014885186,51.89536107368288,46.49919236538102,None,None,No incidents,OP-8875,38.29619667283355,Normal Load,Performance with a load of 814.9848496434428 KW and temperature 28.849592014885186°C. Stable operating conditions without any Incidents
TxID_7002,2011-02-03,2020-07-15,No major replacements,MNT-13598,Preventive Maintenance,2021-12-07,567.0171626278617,38.966967944759546,60.277676519146,0.14847726585730525,None,None,No incidents,OP-8798,38.28422707423801,Normal Load,Performance with a load of 567.0171626278617 KW and temperature 38.966967944759546°C. Stable operating conditions without any Incidents
TxID_7171,2000-02-22,2021-10-18,Replaced major components,MNT-98068,Emergency Maintenance,2023-12-20,1601.0542876089512,82.80517343548595,33.37342559957908,28.52519949760946,None,None,No incidents,OP-9757,37.06437859821982,High Load,Performance with a load of 1601.0542876089512 KW and temperature 82.80517343548595°C. Stable operating conditions without any Incidents
TxID_2851,2002-02-11,2022-04-25,Replaced major components,MNT-59284,Emergency Maintenance,2022-06-22,200.64264808633195,35.07798489830758,21.17608572091524,22.002809185049244,None,None,No incidents,OP-3277,37.06437859821982,Normal Load,Performance with a load of 200.64264808633195 KW and temperature 35.07798489830758°C. Stable operating conditions without any Incidents
TxID_4231,2010-12-29,2022-09-08,No major replacements,MNT-31953,Preventive Maintenance,2023-11-22,1784.7951579827443,64.1786367723999,80.06415063119718,43.558014673168394,None,None,No incidents,OP-9034,36.735186126605306,High Load,Performance with a load of 1784.7951579827443 KW and temperature 64.1786367723999°C. Stable operating conditions without any Incidents
TxID_4662,2013-05-22,2021-03-01,No major replacements,MNT-10676,Preventive Maintenance,2022-12-24,1335.371764013312,78.76147201543458,59.309412285302315,5.420523543652022,None,None,No incidents,OP-1409,36.67927321063974,Normal Load,Performance with a load of 1335.371764013312 KW and temperature 78.76147201543458°C. Stable operating conditions without any Incidents
TxID_2325,2009-01-28,2020-01-03,No major replacements,MNT-25464,Preventive Maintenance,2022-10-24,622.3070207273151,57.83233119031009,50.531283258050365,16.961791498081364,None,None,No incidents,OP-4944,35.983270659348584,Normal Load,Performance with a load of 622.3070207273151 KW and temperature 57.83233119031009°C. Stable operating conditions without any Incidents
